question,nresults,snippet,sections,link
"I had an asthma attack when I was young, but didn't have an episode for over 15 years. Am I still at risk?",0,".",".","."
"mental health",1,"Most people have the resources and mental strength to adapt to this type of ...  The following are signs that your state of health is deteriorating.","Ways to improve the situation / When should I seek help?","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/stress-anxiety-and-depression-associated-with-the-coronavirus-covid-19-disease/"
"Est-ce que je devrais travailler de la maison?",1,"Est-ce que j'ai droit à des congés de maladie? ... Est-ce qu'un employé âgé de 70  ans devrait continuer de travailler ? ... de la nourriture ou des biens essentiels à  des personnes âgées qui habitent encore dans leur maison?"," Est-ce que j'ai droit à des congés de maladie? / Est-il possible d’aller porter de la nourriture ou des biens essentiels à des personnes âgées qui habitent encore dans leur maison?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Si j'ai des symptômes faible (toux seulement) et que je suis en isolement à la maison. Je ne suis pas sortis du pays, je n'ai pas cotoyés de gens qui reviennent de l'extérieur et je n'ai pas utilisé de transport en commun. Est-ce que je peut quand même sortir dehors en évitant de passer à moins de 2m d'une autre personne ?",0,".",".","."
"J’ai une fièvre est ce que je dois rester chez moi ou aller au travail sans aucun souci? ",0,".",".","."
"que dois-je faire si je travail et je suis malade",0,".",".","."
"Je suis pharmacienne communautaire et je prends des immunosupresseurs tel que le plaquenil, le mtx ainsi que humira. Je me demande s'il se",0,".",".","."
"Info santé 811 nous a dit qu'il nous appelerais pour un rendez-vous mais ils n ont pas encore que faut il faire pour avoir un rendez vous de dépistage ",0,".",".","."
"je vous contacte pour mon conjoint qui n’a pas accès à internet, ni téléphone. Il travail dans une centrale nuclélsire dans la grande région de Toronto. Il est très exposé aux risques d’attraper le virus. Il y a environ 3000 travailleurs à chaque jour qui passent au meme endroits. Il est contracteur, et la Centrale a décider de renvoyer les contracteur chez eux par mesure préventive, car il y aurait eu des travailleurs avec des symptomes qui sont repartis à la maison cette semaine. Mon chum a un système immunitaire assez bas, il a même une crise de Zona en ce moment. Il aimerait se faire tester pour la Covid 19 AVANT de revenir à la maison, pour éviter de contaminer notre petite famille. ",0,".",".","."
"What are the symptoms? Is vomiting one of them ?",0,".",".","."
"if i think i have it, should i got get tested",1,"If you are worried about COVID‑19 or display symptoms such as a cough or ... Do  not go to a medical clinic unless you have first obtained an ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"J aimerai savoir mes fille 3 ans et 4 ans son asmatique et ma plus a un problème de systeme immunitaire et je fais une bronchite mon travail demande que je rentre quand meme malgre la situation quels sont mes recours je mets ma famille en danger et moi meme ",0,".",".","."
"Je me demande s'il serait mieux de cesser le travail pour l'isolement à la maison?",0,".",".","."
"is covid-19 dangerous",4,"The current coronavirus (COVID-19) pandemic is a particular and rare situation.  ... Anxiety manifests itself when we believe that a dangerous or ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/stress-anxiety-and-depression-associated-with-the-coronavirus-covid-19-disease/"
"LP test question",0,".",".","."
"Désolé e. C'est fini! Merci",0,".",".","."
"L’écoulement nasal est-il un symptôme ?",0,".",".","."
"something something this is jared testing",0,".",".","."
"What range is the fever at normally if COVID-19 suspected?",2,"If you have symptoms such as a cough or fever: Do not go to a medical clinic  unless you have first obtained an appointment. Visit the emergency ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Pouvez vous me décrire la différence entre toux sèche et toux grasse",0,".",".","."
"Mon copain travail dans le même garage qu'un autre dont les beaux-parents sont en attentes de résultats e dépistage, s'ils ne travaillent pas côte a côte, est-ce que ça me met a risque de voir mon copain?",0,".",".","."
"Si on fait du diabète de type 2 et qu'on est traité pour de l'hypertension, on devient combien plus vulnérable qu'un individu sans problème de cette nature?",0,".",".","."
"Puis-je sortir prendre une marche si je fais de la fièvre?",0,".",".","."
"pourquoi dois-je être en confinement",1,"Pourquoi fermer les écoles et les garderies à ce moment-ci? N'est-ce pas ... Si je  suis à l'étranger, dois-je rentrer immédiatement au pays?",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"I got the flu two weeks ago and are getting symptoms again",0,".",".","."
"Je suis revenue de voyage (en provenance de la France) le 6 mars dernier et j'ai une sensation de brulure dans les bronches depuis quelques jours, dois-je prendre rendez-vous pour me faire tester? Ou simplement rester chez moi et attendre.",0,".",".","."
"Peut-on avoir la COVID-19 2 fois? ",1,"Foire aux questions à propos de la coronavirus (COVID-19) au Québec ... Est-ce  que les parents qui vont devoir prendre deux semaines de ... Un employé peut-il  être congédié s'il refuse d'aller travailler dans un endroit à risque? ... Est-ce la  première fois que le Québec déclare un état d'urgence sanitaire?","Est-ce que les parents qui vont devoir prendre deux semaines de congé en raison de la fermeture des écoles et des services de garde vont continuer d’être payés?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Is it safe to go outside for a walk (social distancing from others)?",2,"Such travel should be confined to trips for medical reasons and work when ...  Individuals who are returning from outside Canada and are in ... If you do not  have a cough or fever, no other specific measure needs to be adopted. ... but the  number of clients must be limited in order to respect social distancing.","Health recommendations for everyone / Restaurants, businesses and public spaces / For citizens returning from travelling","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/instructions-directives/"
"Est ce que la question: arrivez vous de voyage, est ",2,"Foire aux questions à propos de la coronavirus (COVID-19) au Québec ... Est-ce  que le personnel des CPE et garderies subventionnées continuera d'être payé?  ... leur domicile, notamment pour se rendre à leurs rendez-vous médicaux? ...  pour les semaines à venir même si elle ne revient pas de voyage?","Est-il préférable pour une personne de s’isoler et de rester à la maison pour les semaines à venir même si elle ne revient pas de voyage?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Avons-nous une idée dans combien de temps les lieux publics/privés (ex: gyms de CrossFit",0,".",".","."
"comment obtenir un rdv",0,".",".","."
"Quels sont les premiers symptômes à apparaître? ",1,"Si la COVID‑19 vous inquiète ou si vous présentez des symptômes ... On vous  dira comment vous rendre et quelles précautions prendre (port ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"Dois-je entrer travailler si je suis immunosuprimé",0,".",".","."
"Should I stay home ?",3,"Will parents who must take two weeks of leave because schools and ... Is it  preferable to self-isolate and stay home in the coming weeks even if ...","Will parents who must take two weeks of leave because schools and childcare services are closed continue to be paid?","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/"
"is migraines a symptom?",0,".",".","."
"Y a t’il une orientation pour le personnel travaillant en aire ouverte ",0,".",".","."
"Quels sont les symptômes du covid-19?",3,"Foire aux questions à propos de la coronavirus (COVID-19) au Québec et ...  Quels sont les principaux symptômes associés à la COVID‑19?","Quels sont les principaux symptômes associés à la COVID‑19?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"mes oiseaux risquent ils d'attrapper le covid-19",0,".",".","."
"l'allocation familiale annoncée, elle sera versée quand",0,".",".","."
"À quel moment devrions nous nous inquiéter? ",0,".",".","."
"Y-a-t-il un remède de disponible? ",0,".",".","."
"c'est quoi le covid",3,"Est-ce que les parents qui vont devoir prendre deux semaines de congé en  raison de la fermeture des écoles et des services de garde vont ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Si je N'ai pas de fièvre et que je n'ai pas voyagé",0,".",".","."
"how can I prevent myself from getting sick?",0,".",".","."
"Est ce que la diarrhée est réellement un signe avant coureur de la covid?",0,".",".","."
"Combien de jours le virus peut-il vivre sur des surfaces?",0,".",".","."
"Can I visit my parents?",2,"Will parents who must take two weeks of leave because schools and ... Could the  two-week closing of schools and childcare services be prolonged? ... Can an  individual go to a hospital to visit a loved one who is dying? Yes.","Could the two-week closing of schools and childcare services be prolonged? / Can an individual go to a hospital to visit a loved one who is dying? / Will parents who must take two weeks of leave because schools and childcare services are closed continue to be paid?","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/"
"How often should i take my temperature?",0,".",".","."
"I have a headache and an itchy throat. Am I at risk? ",0,".",".","."
"comment avoir un rendez vous",3,"Ne vous présentez pas dans une clinique médicale sans avoir reçu au préalable  un ... Rendez-vous à l'urgence seulement si vous avez des difficultés ... On vous  dira comment vous rendre et quelles précautions prendre (port ...","Pour les citoyens de retour de voyage","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"Un étudiant comme moi peut il être payer à rendre visite aux personnes âgées et être payer ?  ",0,".",".","."
"Dois-je aller à l'hôpital si j'ai de la température ?",0,".",".","."
"Est ce que le covid 19, qui semble etre comparer a une pneumonie, être traité par antibiotique?",0,".",".","."
"How long does it last? ",2,"If you are worried about COVID‑19 or display symptoms such as a cough ...  residential and long-term care centres and other establishments for ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Est-ce que le mal de gorge est un symptôme de la covid? ",0,".",".","."
"combien de temps va durer la pandémie",0,".",".","."
"Is it safe to order food during the COVID-19 pandemic?",2,"On march 13, 2020, the Gouvernement du Québec adopted an Order in ... If you  are worried about COVID‑19 or display symptoms such as a cough or ...  Gatherings and events · Restaurants, businesses and public spaces · Visits to ...  Occupational health and safety This hyperlink will open in a new window.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"j'ai une gastro si je vais en clinique, j'ai peur d'attraper le virus",0,".",".","."
"suis-je a risque ",1,"Personnes à risque ... Les femmes enceintes sont-elles à risque? ... Si je suis à l' étranger, dois-je rentrer immédiatement au pays?","Les femmes enceintes sont-elles à risque?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Est ce que la question, arrivez vous de voyage est encore d'actualite?  Messeble que la propagation est au dela de ca? ",0,".",".","."
"À combien de cas sommes-nous? ",1,"L'information contenue sur le site ne remplace en aucun cas l'avis d'un  professionnel de la santé. Si vous avez des questions concernant votre ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"Que faire si jai une toux et que je fais de la fièvre?",0,".",".","."
"je suis malade, j'ai peur d'aller voir le medecin et attraper le virus",0,".",".","."
"Est-ce qu'il y aura assez de chômage pour tout le monde qui en a besoin?",0,".",".","."
"Puis-je m’isoler volontairement et être payer ?",0,".",".","."
"Quels sont les symptômes du Covid-19 qui ne s’apparente pas à une grippe? ",0,".",".","."
"Doit on être confiné ?",1,"Une attention particulière doit être portée aux personnes âgées, particulièrement  celles de 70 ans et plus, puisqu'elles sont davantage à risque ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"How do I know if I have the corona virus",6,"The current coronavirus (COVID-19) pandemic is a particular and rare situation.  ... Most people have the resources and mental strength to adapt to this type of ...  The following are signs that your state of health is deteriorating.","When should I seek help?","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/stress-anxiety-and-depression-associated-with-the-coronavirus-covid-19-disease/"
"I  take daily walks but keep a 6 ft distance when I talk to someone. Is that OK?",0,".",".","."
"If I have diabetes am I at a higher risk? ",0,".",".","."
"quela sont les symptomes",4,"Est-ce que le personnel des CPE et garderies subventionnées continuera ...  Quels sont les principaux symptômes associés à la COVID‑19?","Est-ce que le personnel des CPE et garderies subventionnées continuera d’être payé? / Quels sont les principaux symptômes associés à la COVID‑19?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Avec quoi peut-on désinfecter les surfaces?",1,"On vous dira comment vous rendre et quelles précautions prendre (port de  masque, utilisation de transport personnel ou d'une ambulance, etc.).",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"How can I get tested if I'm asymptomatic?",0,".",".","."
"Does eating Oranges daily help to fight this virus",0,".",".","."
"Where should I be tested ?",1,"A health emergency is declare throughout Québec's territory to implement  measures to protect the health of the population.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Est t il safe de prendre des médicaments t elle que mezavant ou salofak",0,".",".","."
"What are the symptoms of COVID-19?",6,"The current coronavirus (COVID-19) pandemic is a particular and rare situation.  ... Potential symptoms linked to stress, anxiety and depression.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/stress-anxiety-and-depression-associated-with-the-coronavirus-covid-19-disease/"
"How long before we are healed ",0,".",".","."
"j'ai un rhume, j'ai peur de me présenter dans une clinqiue",0,".",".","."
"J'ai eu des symptômes en février avec un peu de difficultés à respirer une fois couchée seulement, faible toux, fièvre, courbatures et amygdales super enflées, et grande fatigue 7 à 10 jours de retour à la normale.",0,".",".","."
"How do I treat coronavirus?",1,"Coronavirus disease (COVID-19) in Québec ... Québec · Targeted surveillance ·  Symptoms and treatment · Measures taken by the Government ...","Related","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Is it safe to travel to chicago?",0,".",".","."
"How many asymptomatic people are there likely to be?",0,".",".","."
"suis-je a risque de perdre mon emploi",0,".",".","."
"",0,".",".","."
"Avons-nous une idée dans combien de temps les lieux publics/privés (ex: gyms de Crossfit, magasins) réouvriront? Avec précautions et directives bien sûr. ",0,".",".","."
"When will it be ok to go outside?",1,"Do not go to a medical clinic unless you have first obtained an appointment. Visit  the emergency room only if you have difficulty breathing ( ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"age wise statistics for covid-19",0,".",".","."
"Does temperature has any effect on the virus",0,".",".","."
"Est-ce que nous sommes en période de transmission communautaire?",0,".",".","."
"Si j’ai une maladie pulmonaire et que je suis infectée par le covid-19, il va s’écouler combien de temps avant de mourir?",0,".",".","."
"Quoi faire si je tousse",1,"... une personne infectée lorsque cette personne tousse ou éternue; ... Je reviens  de voyage, que dois-je faire? ... Si je dois me placer en isolement volontaire,  quelles sont les ... En quoi consiste l'état d'urgence sanitaire?","Je reviens de voyage, que dois-je faire? / Si je dois me placer en isolement volontaire, quelles sont les consignes à respecter?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"How long will it take to develop a vaccine ? ",1,"A health emergency is declare throughout Québec's territory to implement ... You  will be told how to go there and what precautions to take (wearing ... residential  and long-term care centres and other establishments for seniors ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"How do I know when to get tested?",1,"Special attention must be paid to the elderly, especially individuals 70 years of  age and over, since they are at greater risk of complications.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Are research fundings going to be cut as a result of the virus?",0,".",".","."
"Pourquoi je ne peux pas faire de télétravail dans le domaine de la santé ",0,".",".","."
"Qu'arrivera t'il de mon emploi?",1,"Est-ce que mon employeur peut me mettre en arrêt de travail ... Qu'arrive-t-il avec  les camionneurs en provenance de l'extérieur des frontières?","Est-ce que mon employeur peut me mettre en arrêt de travail non-payé à cause du coronavirus?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"j'ai besoin d'aide je crois",1,"L'état d'urgence sanitaire a été déclaré sur tout le territoire québécois pour mettre  en place des mesures visant à assurer la protection de la ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"j'ai une gastro, j'ai peur de me présenter dans une clinnique",0,".",".","."
"Must the fever-symptom related to COVID-19 be a continuous fever, or is it possible that the fever is short-lived?",1,"Frequently asked questions about coronavirus (COVID-19) in Québec ... Will  parents who must take two weeks of leave because schools and ... Could the two -week closing of schools and childcare services be prolonged? ... Is it possible to  deliver food or essential items to elderly people living at home?","Could the two-week closing of schools and childcare services be prolonged? / Is it possible to deliver food or essential items to elderly people living at home? / Will parents who must take two weeks of leave because schools and childcare services are closed continue to be paid?","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/"
"Est-ce que le covid 19, qui semble etre comparer a une pneumonie",0,".",".","."
"comment obtenir de l'info pour le depistage",1,"L'état d'urgence sanitaire a été déclaré sur tout le territoire ... comme de la toux  ou de la fièvre, vous pouvez contacter le 418 644-4545 pour la ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"I have Hashimoto's hypothyroiditis. Am I more at risk? I also had a PE due to Fv-leiden and oral contraceptives in 2001...what do you recommend I do?",0,".",".","."
"Test ",6,"A health emergency is declare throughout Québec's territory to implement  measures to protect the health of the population.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Is there a cure for corona virus?",6,"If you have symptoms such as a cough or fever: Do not go to a medical clinic  unless you have first obtained an appointment. Visit the emergency ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Lp test ",0,".",".","."
"Are young people susceptible to corona virus?",1,"A health emergency is declare throughout Québec's territory to implement  measures to protect the health of the population.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Je tousse depuis 5 jours. Est-ce que je devrais aller à l'urgence?",0,".",".","."
"Y a-t-il des dangers pour les femmes enceintes ?",1,"Mon employeur doit-il prendre des mesures particulières pour protéger la santé  des travailleurs ? ... Les femmes enceintes sont-elles à risque?","Mon employeur doit-il prendre des mesures particulières pour protéger la santé des travailleurs ?  / Les femmes enceintes sont-elles à risque?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Est ce que de mettre un masque me protège bien du virus? ",0,".",".","."
"Est ce que le Coronavirus part au lavage ? ",1,"L'état d'urgence sanitaire a été déclaré sur tout le territoire québécois pour mettre  en place des mesures visant à assurer la protection de la ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"Est-ce que la transmission communautaire est débuté?",0,".",".","."
"How do I know if I have been infected?",2,"Visit the emergency room only if you have difficulty breathing ... and indicate that  you are a traveller who has been back for less than 14 days.","For citizens returning from travelling","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Que dois-je faire si je présente des symptômes du COVID-19 ?",2,"Foire aux questions à propos de la coronavirus (COVID-19) au Québec et ... Est- ce que les parents qui vont devoir prendre deux semaines de congé en ... Quels  sont les principaux symptômes associés à la COVID‑19? ... Si je dois me placer  en isolement volontaire, quelles sont les consignes à respecter?","Est-ce que les parents qui vont devoir prendre deux semaines de congé en raison de la fermeture des écoles et des services de garde vont continuer d’être payés? / Quels sont les principaux symptômes associés à la COVID‑19? / Si je dois me placer en isolement volontaire, quelles sont les consignes à respecter?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Après 14 jours de confinement, puis-je retourner au travail si je n'ai pas de symptômes?",0,".",".","."
"Bonjour, puis je me réunir avec des amis ?",0,".",".","."
"How does COVID-19 affect asymptomatic people's lungs? ",0,".",".","."
"What about the researches with respect to treatment of COVID-19",1,"If you are worried about COVID‑19 or display symptoms such as a cough ...  Flexibility measures respecting existing loans and loan guarantees ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Avez-vous des informaticiens sur COVID-19",0,".",".","."
"Est-ce que on peut être malade mais ne pas présenter de symptômes?",0,".",".","."
"Combien de gens sont infectés au Canada ?",2,"Est-ce que le personnel des CPE et garderies subventionnées ... des signes et  symptômes de l'infection en contexte de pandémie. ... ou des biens essentiels à  des personnes qui sont dans les hôpitaux, les ... Combien de temps la COVID‑19  survit-elle sur des objets? ... du Gouvernement du Canada.","J'ai des projets de voyage, devrais-je les annuler? / Quels sont les pays les plus à risque? / Est-ce que le personnel des CPE et garderies subventionnées continuera d’être payé? / Combien de temps la COVID‑19 survit-elle sur des objets? / Informations aux voyageurs / Est-il possible d’aller livrer de la nourriture ou des biens essentiels à des personnes qui sont dans les hôpitaux, les CHSLD, les ressources intermédiaires, de type familial pour les aînés et les adultes vulnérables et les résidences privées pour aînés?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Quelles sont les symptômes du covid ? ",3,"Quels sont les principaux symptômes associés à la COVID‑19?","Quels sont les principaux symptômes associés à la COVID‑19?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Est ce que le covoiturage est à éviter en cette période de pandémie ",0,".",".","."
"Combien de temps le virus survie t'il hors du corps?",0,".",".","."
"Le coronavirus survit-il quand une personne contaminée meurt ?",1,"Une attention particulière doit être portée aux personnes âgées, ... Si vous êtes  un voyageur de retour depuis moins de 14 jours, précisez-le.",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"Quels sont les symptômes du COVID-19 ?",3,"Foire aux questions à propos de la coronavirus (COVID-19) au Québec et ...  Quels sont les principaux symptômes associés à la COVID‑19?","Quels sont les principaux symptômes associés à la COVID‑19?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"J'ai des écoulements nasaux, est-ce que je devrais me faire tester pour le covid?",0,".",".","."
"Test ",6,"A health emergency is declare throughout Québec's territory to implement  measures to protect the health of the population.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"What's corona virus?",6,"The current coronavirus (COVID-19) pandemic is a particular and ... Stress  comes and goes on its own, depending of what factors are involved.","What does stress mean? / A variety of reactions are possible in the context of a coronavirus (COVID-19) pandemic","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/stress-anxiety-and-depression-associated-with-the-coronavirus-covid-19-disease/"
"Hi",0,".",".","."
"What are the Symptome ",1,"If you have symptoms such as a cough or fever: Do not go to a medical clinic  unless you have first obtained an appointment. Visit the emergency ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Mon nez coule, dois-je m'inquiéter?",0,".",".","."
"Si je suis en isolement depuis 10 jours et que mes parents aussi, est-ce qu'on devrait se visiter?",0,".",".","."
"what is going to happen to us?",2,"What happens to truck drivers from outside our borders? Truck drivers and air  crews and seagoing personnel do not have to self-isolate given ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/"
"Combien de morts aujourd’hui dans le monde?",0,".",".","."
"Quels sont les symptômes du Covid-19 ?",3,"Foire aux questions à propos de la coronavirus (COVID-19) au Québec et ...  Quels sont les principaux symptômes associés à la COVID‑19?","Quels sont les principaux symptômes associés à la COVID‑19?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"La femme enceinte est elle considérée plus à risque ?",1,"Est-ce que les parents qui ne peuvent plus utiliser les services de garde  éducatifs à l'enfance ... Les femmes enceintes sont-elles à risque?","Les femmes enceintes sont-elles à risque?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Comment puis-je me faire tester?",0,".",".","."
"Should I go to the ER or my physician directly if I'm infected?",0,".",".","."
"what are the symptoms of covid-19 by day of infection?",4,"Frequently asked questions about coronavirus (COVID-19) in ... Closing of  schools and day care centres ... Employers can also introduce a workplace  attendance policy for workers with signs and symptoms of infection during the  pandemic. ... What are the main symptoms associated with COVID-19?","Does my employer need to take any extra steps to protect workers’ health?  / What are the main symptoms associated with COVID-19?","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/"
"How long does the virus remain on a surface?",1,"A health emergency is declare throughout Québec's territory to ... residential and  long-term care centres and other establishments for seniors ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Can you catch covid 19 after having had it before ",10,"This page should be seen as a tool that can help you to minimize the ... The  current coronavirus (COVID-19) pandemic is a particular and rare situation. It can  ... Virus-related worries and insecurity; Feelings of being overwhelmed by events,  ... Remind yourself of winning strategies you used in the past to get ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/stress-anxiety-and-depression-associated-with-the-coronavirus-covid-19-disease/"
"what is coronavirus",6,"Coronavirus disease (COVID-19) in Québec. On march 13, 2020, the  Gouvernement du Québec adopted an Order in Council that declares a ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Testing ",4,"A health emergency is declare throughout Québec's territory to implement  measures to protect the health of the population.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Combien de personnes sont infectés à Montréal ? ",1,"Une attention particulière doit être portée aux personnes âgées, ... celles de 70  ans et plus, puisqu'elles sont davantage à risque de décès. ... le 514 644-4545  pour la région de Montréal, le 450 644-4545 pour la région de ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
